1541217101683, Voiculescu, Alexandru, male, 1976
1810923018469, Gruia, Ciprian, male, 2002
1960624334552, Munteanu, Claudiu, male, 2020
2531017270575, Opris, Flavia, female, 1971
1740506111044, Munteanu, Doru, male, 1993
2800516310671, Baciu, Natalia, female, 2005
2600804322132, Craciun, Ioana, female, 1981
2840721359102, Nastase, Adriana, female, 2006
1640718276092, Hetco, David, male, 1983
2650101300492, Craciun, Alexandra, female, 1984
2920319020943, Toderas, Dora, female, 2015
2630630064756, Opris, Anda, female, 1983
2740701023190, Hosu, Anca, female, 1999
2630709277320, Dragulescu, Elena, female, 1988
1630924234547, Grigorescu, Stefan, male, 1981
1930710233264, Dragulescu, Raul, male, 2020
2890818181556, Munteanu, Anda, female, 2008
1511011088660, Gruia, Mihai, male, 1976
1781112283714, Medeleanu, Raul, male, 2003
1680220124320, Danciu, Sergiu, male, 1989
2880731170625, Nicoara, Ioana, female, 2006
2620403351613, Munteanu, Izabela, female, 1984
2901209327377, Mureseanu, Flavia, female, 2012
1601113264388, Grigorescu, David, male, 1984
2910331309231, Hosu, Ingrid, female, 2013
2620217017495, Toderas, Ioana, female, 1981
2501112151286, Hosu, Ioana, female, 1972
2511208195482, Lazar, Anda, female, 1971
2530917327207, Dogaru, Ingrid, female, 1980
2970508051270, Badea, Ingrid, female, 2020
1670714197630, Dragulescu, Sergiu, male, 1989
1550506305887, Sabau, Cosmin, male, 1974
2851018137930, Medeleanu, Izabela, female, 2009
1560702366303, Medeleanu, Alexandru, male, 1980
2640904118936, Nastase, Izabela, female, 1982
1611015303623, Mureseanu, Horia, male, 1981
2550806159117, Nicoara, Flavia, female, 1975
2740216159061, Mureseanu, Otlia, female, 2000
2671202224762, Fulga, Flavia, female, 1992
1540324288414, Grigorescu, Mihai, male, 1979
2860620173481, Dogaru, Adriana, female, 2007
1950731102879, Herlea, Alexandru, male, 2014
1620516011085, Herlea, Albert, male, 1987
2630511040897, Neagu, Ada, female, 1981
2830212067691, Neagu, Adriana, female, 2006
1510603328960, Hosu, Raul, male, 1974
2730624250205, Baciu, Ada, female, 1995
1570112222107, Nastase, Cornel, male, 1981
2771115031170, Baciu, Florina, female, 2000
1980726088157, Pop, Stefan, male, 2025
1980211368175, Neagu, Sergiu, male, 2020
1650214185689, Herlea, Stefan, male, 1985
1550313110909, Voiculescu, Stefan, male, 1975
1920315204277, Zarnescu, Sergiu, male, 2010
1800827272986, Dogaru, Raul, male, 2006
1591024311808, Medeleanu, David, male, 1984
2750919181799, Lazar, Andreea, female, 2002
2710717177270, Nastase, Andreea, female, 1996
1781105290371, Danciu, Cosmin, male, 1998
2520525192014, Sabau, Mihaela, female, 1970
1891101068394, Grigorescu, Mihai, male, 2007
1910811355821, Opris, Raul, male, 2014
1760211202642, Nicoara, Cosmin, male, 1996
2980814133291, Craciun, Otlia, female, 2022
2680826039662, Gruia, Ingrid, female, 1993
2780512097015, Opris, Natalia, female, 2001
1950524064284, Nastase, Doru, male, 2013
2751121209065, Medeleanu, Anda, female, 1994
1681010515392, Nicoara, Robert, male, 1987
2940605519690, Sabau, Maria, female, 2016
1580807203101, Ene, Horia, male, 1981
1940814114837, Hosu, Raul, male, 2021
1690210131721, Mureseanu, Sergiu, male, 1989
2690701223469, Manole, Simina, female, 1990
1870712034449, Herlea, Stefan, male, 2006
2920515291381, Gruia, Flavia, female, 2013
1630514093239, Manole, Doru, male, 1983
2590419228378, Gruia, Alexandra, female, 1978
2880831358547, Gliga, Mihaela, female, 2008
1860914348851, Hosu, Robert, male, 2009
1700812091497, Sabau, Cornel, male, 1990
2500716047641, Nicoara, Alexandra, female, 1968
1560131108899, Danciu, Ciprian, male, 1976
2911119012942, Medeleanu, Flavia, female, 2013
1920614041623, Craciun, Ciprian, male, 2016
2780625190924, Hetco, Ioana, female, 2003
1770713316728, Fulga, Robert, male, 1996
2570708231568, Opris, Ada, female, 1983
1720110378019, Toderas, Stefan, male, 1989
2540110097281, Toderas, Florina, female, 1978
2740709520834, Opris, Ioana, female, 1993
2770505114853, Fulga, Zenobia, female, 1998
1980216159506, Hetco, Mihai, male, 2019
2610320312151, Gliga, Izabela, female, 1986
2520928323256, Medeleanu, Anda, female, 1972
2501123038363, Gliga, Ioana, female, 1971
2510702331057, Ene, Nicoleta, female, 1970
2571221121165, Ionita, Maria, female, 1977
2590903257231, Grigorescu, Mihaela, female, 1979
1620811392960, Toderas, Stefan, male, 1986
2891220222581, Grigorescu, Adriana, female, 2016
2500905093020, Gliga, Dora, female, 1970
1890522033544, Opris, Albert, male, 2008
2770813022848, Manole, Ioana, female, 1995
2700505527129, Macovei, Flavia, female, 1989
1951113191485, Hetco, Andrei, male, 2016
1871205098888, Voiculescu, Cosmin, male, 2013
1750413350890, Voiculescu, Alexandru, male, 2002
1780624066694, Sabau, Matei, male, 2003
1780712332574, Fulga, Doru, male, 2003
1830424298942, Nicoara, Paul, male, 2009
1920826096684, Baciu, David, male, 2016
2681028071550, Pacuraru, Anca, female, 1988
1750316229329, Stanciu, Paul, male, 2000
1610910336187, Mureseanu, Matei, male, 1985
2861019169598, Neagu, Simina, female, 2012
1860621348565, Hosu, Robert, male, 2008
2720107344918, Filipoaie, Otlia, female, 1992
1561109344269, Hosu, Alexandru, male, 1976
1840417520838, Zarnescu, Mihai, male, 2005
2760218017851, Baciu, Simina, female, 2002
1520522105525, Fulga, Codrut, male, 1973
1520319146841, Munteanu, David, male, 1978
2560621524982, Dragulescu, Anca, female, 1978
2750713185893, Badea, Florina, female, 1996
1870708064070, Opris, Vlad, male, 2007
1671220512024, Macovei, David, male, 1986
2891019036733, Grigorescu, Anca, female, 2009
2820613344941, Herlea, Elena, female, 2003
2740917058578, Baciu, Ioana, female, 2001
1910605215293, Grigorescu, Codrut, male, 2013
2610921144790, Stanciu, Mihaela, female, 1981
2551025393884, Herlea, Simina, female, 1975
1650417510731, Baciu, Paul, male, 1992
1821110190878, Sabau, Horia, male, 2006
1971021312986, Ene, Alexandru, male, 2016
2840119050112, Fulga, Ingrid, female, 2001
1890919356071, Craciun, Andrei, male, 2007
1510605331500, Gliga, Sergiu, male, 1969
2760702041804, Fulga, Izabela, female, 1997
2500517245151, Opris, Izabela, female, 1973
2730907172423, Grigorescu, Nicoleta, female, 1993
2980919529110, Ene, Natalia, female, 2023
2721011199804, Fulga, Dora, female, 1998
2880326118434, Baciu, Andreea, female, 2015
1840913264138, Lazar, Raul, male, 2002
2730903353756, Fulga, Otlia, female, 1998
2560218127381, Opris, Flavia, female, 1976
1550905142612, Zarnescu, Doru, male, 1973
1760101368847, Nicoara, Andrei, male, 1999
1620212204196, Toderas, Alexandru, male, 1985
2870224199342, Baciu, Ada, female, 2008
2910915332235, Gliga, Maria, female, 2018
1830214528504, Ionita, Albert, male, 2009
2770309209384, Gliga, Nicoleta, female, 1999
2680531330086, Herlea, Elena, female, 1986
1640307168697, Danciu, Vlad, male, 1983
2600503314036, Herlea, Andreea, female, 1979
2730121281855, Stanciu, Alexandra, female, 1999
1770721063900, Filipoaie, Doru, male, 1996
2770204073060, Toderas, Elena, female, 1996
2890820528958, Zarnescu, Nicoleta, female, 2008
2640408022920, Ene, Ingrid, female, 1983
2521124210881, Pop, Elena, female, 1978
2761027157841, Nicoara, Simina, female, 2003
2720221334775, Zarnescu, Natalia, female, 1995
1770731131086, Hetco, Matei, male, 1997
2751012133098, Badea, Dora, female, 1993
1910521116952, Medeleanu, Stefan, male, 2017
2970415058231, Sabau, Ada, female, 2023
2770228299835, Zarnescu, Ingrid, female, 2001
1540922251138, Hosu, Matei, male, 1978
1820713334735, Hetco, Cosmin, male, 2004
1760226384813, Nastase, Stefan, male, 2000
2910706528151, Manole, Simina, female, 2016
2891121327919, Stanciu, Maria, female, 2016
1880716033493, Herlea, Cosmin, male, 2013
2951210020780, Lazar, Maria, female, 2018
2661109101924, Nicoara, Alexandra, female, 1987
1590823165159, Filipoaie, Raul, male, 1979
2630821284991, Filipoaie, Nicoleta, female, 1987
1960607010445, Neagu, Vlad, male, 2020
2620627372962, Gruia, Izabela, female, 1989
2770518228359, Voiculescu, Elena, female, 2002
1920224136899, Ionita, Stefan, male, 2019
1740318045020, Ene, Ciprian, male, 1996
2620424124356, Dogaru, Elena, female, 1983
1860101168588, Nastase, Andrei, male, 2005
1541231368195, Dogaru, Stefan, male, 1980
2990905187870, Gruia, Simina, female, 2017
2740306048011, Hosu, Mihaela, female, 2001
1970311037700, Mureseanu, Claudiu, male, 2022
2590710058342, Macovei, Maria, female, 1981
1660822128120, Manole, Cornel, male, 1986
2510909232089, Badea, Otlia, female, 1969
2940221274920, Macovei, Florina, female, 2018
1800503268858, Toderas, Mihai, male, 1999
1910103520121, Manole, Alexandru, male, 2011
1910611125389, Stanciu, Andrei, male, 2018
1820218151545, Filipoaie, Cosmin, male, 2009
1531027515711, Fulga, Raul, male, 1978
1880505045015, Fulga, Raul, male, 2012
1641211359543, Macovei, Horia, male, 1985
1840815333997, Pacuraru, Codrut, male, 2011
1930321010137, Opris, Alexandru, male, 2013
1740102217185, Herlea, Doru, male, 2000
2980317089271, Stanciu, Ada, female, 2020
1640201218871, Ionita, Vlad, male, 1984
2820221208891, Herlea, Adriana, female, 2000
1731026243303, Hetco, Stefan, male, 1998
1630105345731, Baciu, Andrei, male, 1985
1630509237840, Toderas, Matei, male, 1989
1841215017957, Mureseanu, Ciprian, male, 2004
2530718229225, Voiculescu, Ingrid, female, 1974
1740714395219, Zarnescu, Cornel, male, 2000
2870822041231, Baciu, Natalia, female, 2006
2500413529430, Baciu, Elena, female, 1968
2670426275762, Baciu, Zenobia, female, 1986
1501118265428, Neagu, David, male, 1976
2900809221194, Gliga, Izabela, female, 2011
2580519154221, Filipoaie, Andreea, female, 1984
1740527189878, Herlea, Claudiu, male, 1994
2670122112002, Badea, Flavia, female, 1988
1911023038855, Badea, Paul, male, 2012
2841207075521, Neagu, Dora, female, 2011
1530104094748, Baciu, Alexandru, male, 1972
2560706292870, Lazar, Elena, female, 1976
2740923042601, Sabau, Ioana, female, 1993
1610220074667, Zarnescu, Alexandru, male, 1986
2720214123442, Macovei, Maria, female, 1998
1860714523307, Hetco, Sergiu, male, 2010
2760923049040, Gruia, Natalia, female, 2000
2801205517621, Hetco, Flavia, female, 1999
1580215188600, Herlea, Stefan, male, 1976
2830302386692, Dragulescu, Natalia, female, 2001
2831003346821, Pacuraru, Natalia, female, 2001
1740823063737, Dragulescu, Paul, male, 1993
1530715511180, Dragulescu, Horia, male, 1976
1911013157087, Pacuraru, Mihai, male, 2013
2550716326603, Herlea, Adriana, female, 1975
1520904335269, Gruia, Ciprian, male, 1979
2610921225032, Filipoaie, Ioana, female, 1987
1530411148738, Munteanu, Matei, male, 1980
1670421030665, Herlea, Raul, male, 1987
1520122391849, Filipoaie, Stefan, male, 1970
2650502297034, Medeleanu, Otlia, female, 1992
2801128179197, Grigorescu, Anca, female, 2001
1651022140109, Grigorescu, Cornel, male, 1990
1940615399693, Medeleanu, Claudiu, male, 2018
1640404191880, Lazar, Horia, male, 1990
2811120379301, Opris, Ioana, female, 2005
1850204511809, Nicoara, David, male, 2011
2551119239001, Gliga, Anca, female, 1976
2840801274829, Toderas, Flavia, female, 2009
2870219066356, Medeleanu, Elena, female, 2014
2870316111854, Nicoara, Elena, female, 2012
2950420236706, Toderas, Mihaela, female, 2019
1770508396030, Danciu, Sergiu, male, 2002
1730923017447, Filipoaie, Albert, male, 1997
1801231175871, Craciun, Horia, male, 2003
2660526090901, Ene, Maria, female, 1984
2990923225729, Dogaru, Anca, female, 2024
2591128110332, Pop, Natalia, female, 1983
2750317174467, Hosu, Maria, female, 2000
1551217097140, Dragulescu, Ciprian, male, 1976
1680924201400, Pop, Ciprian, male, 1989
1711027120953, Craciun, Alexandru, male, 1991
1760215040239, Manole, Cornel, male, 2003
2571118311044, Herlea, Anca, female, 1977
2990926302579, Gruia, Izabela, female, 2023
2640207356653, Herlea, Ingrid, female, 1983
2920406362082, Danciu, Dora, female, 2016
1591018222908, Dragulescu, Mihai, male, 1977
2980904227231, Craciun, Alexandra, female, 2019
2930911010151, Grigorescu, Flavia, female, 2020
1940926332721, Neagu, Codrut, male, 2013
1531021121227, Craciun, David, male, 1971
2890512236183, Grigorescu, Izabela, female, 2009
1831130331659, Stanciu, Stefan, male, 2007
2971111342312, Filipoaie, Anda, female, 2017
2510711186302, Herlea, Florina, female, 1977
1600126259372, Ene, Albert, male, 1980
1990430127597, Zarnescu, Alexandru, male, 2021
2580809104319, Hosu, Adriana, female, 1984
2801116037386, Toderas, Otlia, female, 2001
2661006122498, Fulga, Elena, female, 1984
1670210288319, Pop, Cosmin, male, 1989
2860908195460, Munteanu, Dora, female, 2004
2960219028612, Dragulescu, Simina, female, 2018
2890515379456, Ene, Elena, female, 2010
1910501281028, Badea, Vlad, male, 2011
2690214344493, Herlea, Ingrid, female, 1996
1540322202450, Toderas, Codrut, male, 1974
2930717073011, Fulga, Mihaela, female, 2018
1970504375956, Ene, Ciprian, male, 2023
2500803081402, Pacuraru, Adriana, female, 1972
1910727320562, Munteanu, Stefan, male, 2017
2830406264478, Toderas, Zenobia, female, 2006
2751019154871, Grigorescu, Dora, female, 1997
1570602174639, Nastase, Alexandru, male, 1984
2530817120177, Opris, Alexandra, female, 1977
2850724265961, Medeleanu, Ioana, female, 2011
2631002192901, Baciu, Adriana, female, 1982
1811105350894, Sabau, Paul, male, 2001
